r, mm;I
0,0000;0,000000000
0,0025;0,000000002
0,0050;0,000000029
0,0075;0,000000147
0,0100;0,000000465
0,0125;0,000001135
0,0150;0,000002354
0,0175;0,000004361
0,0200;0,000007440
0,0225;0,000011917
0,0250;0,000018163
0,0275;0,000026593
0,0300;0,000037663
0,0325;0,000051876
0,0350;0,000069775
0,0375;0,000091949
0,0400;0,000119031
0,0425;0,000151695
0,0450;0,000190660
0,0475;0,000236688
0,0500;0,000290586
0,0525;0,000353201
0,0550;0,000425428
0,0575;0,000508199
0,0600;0,000602496
0,0625;0,000709339
0,0650;0,000829793
0,0675;0,000964965
0,0700;0,001116007
0,0725;0,001284111
0,0750;0,001470512
0,0775;0,001676488
0,0800;0,001903359
0,0825;0,002152486
0,0850;0,002425273
0,0875;0,002723165
0,0900;0,003047648
0,0925;0,003400247
0,0950;0,003782531
0,0975;0,004196106
0,1000;0,004642621
0,1025;0,005123760
0,1050;0,005641249
0,1075;0,006196852
0,1100;0,006792371
0,1125;0,007429644
0,1150;0,008110547
0,1175;0,008836992
0,1200;0,009610924
0,1225;0,010434327
0,1250;0,011309215
0,1275;0,012237637
0,1300;0,013221674
0,1325;0,014263438
0,1350;0,015365070
0,1375;0,016528742
0,1400;0,017756654
0,1425;0,019051031
0,1450;0,020414127
0,1475;0,021848217
0,1500;0,023355602
0,1525;0,024938601
0,1550;0,026599558
0,1575;0,028340832
0,1600;0,030164799
0,1625;0,032073853
0,1650;0,034070398
0,1675;0,036156853
0,1700;0,038335644
0,1725;0,040609205
0,1750;0,042979978
0,1775;0,045450405
0,1800;0,048022930
0,1825;0,050699997
0,1850;0,053484046
0,1875;0,056377508
0,1900;0,059382808
0,1925;0,062502359
0,1950;0,065738556
0,1975;0,069093782
0,2000;0,072570394
0,2025;0,076170729
0,2050;0,079897095
0,2075;0,083751772
0,2100;0,087737004
0,2125;0,091854999
0,2150;0,096107925
0,2175;0,100497904
0,2200;0,105027010
0,2225;0,109697267
0,2250;0,114510639
0,2275;0,119469034
0,2300;0,124574291
0,2325;0,129828185
0,2350;0,135232415
0,2375;0,140788602
0,2400;0,146498287
0,2425;0,152362923
0,2450;0,158383873
0,2475;0,164562401
0,2500;0,170899672
0,2525;0,177396746
0,2550;0,184054569
0,2575;0,190873973
0,2600;0,197855668
0,2625;0,205000239
0,2650;0,212308138
0,2675;0,219779680
0,2700;0,227415038
0,2725;0,235214239
0,2750;0,243177155
0,2775;0,251303500
0,2800;0,259592827
0,2825;0,268044516
0,2850;0,276657776
0,2875;0,285431633
0,2900;0,294364930
0,2925;0,303456319
0,2950;0,312704257
0,2975;0,322106997
0,3000;0,331662590
0,3025;0,341368871
0,3050;0,351223464
0,3075;0,361223767
0,3100;0,371366955
0,3125;0,381649971
0,3150;0,392069522
0,3175;0,402622077
0,3200;0,413303861
0,3225;0,424110849
0,3250;0,435038767
0,3275;0,446083082
0,3300;0,457239005
0,3325;0,468501483
0,3350;0,479865199
0,3375;0,491324567
0,3400;0,502873732
0,3425;0,514506565
0,3450;0,526216663
0,3475;0,537997349
0,3500;0,549841666
0,3525;0,561742383
0,3550;0,573691989
0,3575;0,585682694
0,3600;0,597706434
0,3625;0,609754865
0,3650;0,621819369
0,3675;0,633891055
0,3700;0,645960761
0,3725;0,658019057
0,3750;0,670056247
0,3775;0,682062374
0,3800;0,694027226
0,3825;0,705940338
0,3850;0,717791001
0,3875;0,729568265
0,3900;0,741260947
0,3925;0,752857640
0,3950;0,764346719
0,3975;0,775716351
0,4000;0,786954505
0,4025;0,798048960
0,4050;0,808987319
0,4075;0,819757017
0,4100;0,830345338
0,4125;0,840739422
0,4150;0,850926285
0,4175;0,860892829
0,4200;0,870625859
0,4225;0,880112099
0,4250;0,889338209
0,4275;0,898290801
0,4300;0,906956460
0,4325;0,915321759
0,4350;0,923373284
0,4375;0,931097648
0,4400;0,938481519
0,4425;0,945511635
0,4450;0,952174832
0,4475;0,958458067
0,4500;0,964348435
0,4525;0,969833204
0,4550;0,974899830
0,4575;0,979535992
0,4600;0,983729611
0,4625;0,987468878
0,4650;0,990742288
0,4675;0,993538657
0,4700;0,995847159
0,4725;0,997657352
0,4750;0,998959204
0,4775;0,999743126
0,4800;1,000000000
0,4825;0,999721209
0,4850;0,998898666
0,4875;0,997524846
0,4900;0,995592811
0,4925;0,993096248
0,4950;0,990029491
0,4975;0,986387553
0,5000;0,982166159
0,5025;0,977361771
0,5050;0,971971616
0,5075;0,965993719
0,5100;0,959426925
0,5125;0,952270930
0,5150;0,944526306
0,5175;0,936194525
0,5200;0,927277986
0,5225;0,917780039
0,5250;0,907705002
0,5275;0,897058189
0,5300;0,885845928
0,5325;0,874075577
0,5350;0,861755544
0,5375;0,848895302
0,5400;0,835505403
0,5425;0,821597489
0,5450;0,807184304
0,5475;0,792279702
0,5500;0,776898653
0,5525;0,761057247
0,5550;0,744772697
0,5575;0,728063337
0,5600;0,710948620
0,5625;0,693449114
0,5650;0,675586492
0,5675;0,657383521
0,5700;0,638864053
0,5725;0,620053003
0,5750;0,600976332
0,5775;0,581661029
0,5800;0,562135078
0,5825;0,542427438
0,5850;0,522568006
0,5875;0,502587583
0,5900;0,482517841
0,5925;0,462391276
0,5950;0,442241168
0,5975;0,422101530
0,6000;0,402007061
0,6025;0,381993090
0,6050;0,362095518
0,6075;0,342350760
0,6100;0,322795678
0,6125;0,303467516
0,6150;0,284403831
0,6175;0,265642418
0,6200;0,247221236
0,6225;0,229178327
0,6250;0,211551737
0,6275;0,194379428
0,6300;0,177699198
0,6325;0,161548584
0,6350;0,145964777
0,6375;0,130984526
0,6400;0,116644041
0,6425;0,102978902
0,6450;0,090023953
0,6475;0,077813209
0,6500;0,066379753
0,6525;0,055755632
0,6550;0,045971759
0,6575;0,037057810
0,6600;0,029042119
0,6625;0,021951582
0,6650;0,015811546
0,6675;0,010645721
0,6700;0,006476071
0,6725;0,003322721
0,6750;0,001203859
0,6775;0,000135647
0,6800;0,000132125
0,6825;0,001205126
0,6850;0,003364192
0,6875;0,006616492
0,6900;0,010966745
0,6925;0,016417148
0,6950;0,022967311
0,6975;0,030614192
0,7000;0,039352040
0,7025;0,049172346
0,7050;0,060063798
0,7075;0,072012243
0,7100;0,085000656
0,7125;0,099009118
0,7150;0,114014796
0,7175;0,129991940
0,7200;0,146911880
0,7225;0,164743039
0,7250;0,183450943
0,7275;0,202998257
0,7300;0,223344815
0,7325;0,244447667
0,7350;0,266261135
0,7375;0,288736878
0,7400;0,311823965
0,7425;0,335468964
0,7450;0,359616032
0,7475;0,384207025
0,7500;0,409181609
0,7525;0,434477390
0,7550;0,460030045
0,7575;0,485773469
0,7600;0,511639932
0,7625;0,537560240
0,7650;0,563463910
0,7675;0,589279354
0,7700;0,614934068
0,7725;0,640354836
0,7750;0,665467931
0,7775;0,690199335
0,7800;0,714474961
0,7825;0,738220877
0,7850;0,761363544
0,7875;0,783830054
0,7900;0,805548373
0,7925;0,826447589
0,7950;0,846458162
0,7975;0,865512176
0,8000;0,883543595
0,8025;0,900488513
0,8050;0,916285414
0,8075;0,930875419
0,8100;0,944202537
0,8125;0,956213916
0,8150;0,966860080
0,8175;0,976095170
0,8200;0,983877170
0,8225;0,990168137
0,8250;0,994934409
0,8275;0,998146813
0,8300;0,999780858
0,8325;0,999816916
0,8350;0,998240396
0,8375;0,995041894
0,8400;0,990217336
0,8425;0,983768101
0,8450;0,975701132
0,8475;0,966029021
0,8500;0,954770083
0,8525;0,941948403
0,8550;0,927593874
0,8575;0,911742199
0,8600;0,894434882
0,8625;0,875719192
0,8650;0,855648107
0,8675;0,834280231
0,8700;0,811679685
0,8725;0,787915985
0,8750;0,763063882
0,8775;0,737203185
0,8800;0,710418559
0,8825;0,682799297
0,8850;0,654439067
0,8875;0,625435641
0,8900;0,595890590
0,8925;0,565908970
0,8950;0,535598971
0,8975;0,505071558
0,9000;0,474440083
0,9025;0,443819880
0,9050;0,413327846
0,9075;0,383081996
0,9100;0,353201013
0,9125;0,323803779
0,9150;0,295008891
0,9175;0,266934173
0,9200;0,239696173
0,9225;0,213409663
0,9250;0,188187119
0,9275;0,164138216
0,9300;0,141369311
0,9325;0,119982931
0,9350;0,100077271
0,9375;0,081745690
0,9400;0,065076224
0,9425;0,050151107
0,9450;0,037046310
0,9475;0,025831092
0,9500;0,016567577
0,9525;0,009310349
0,9550;0,004106074
0,9575;0,000993146
0,9600;0,000001366
0,9625;0,001151657
0,9650;0,004455802
0,9675;0,009916227
0,9700;0,017525825
0,9725;0,027267811
0,9750;0,039115628
0,9775;0,053032893
0,9800;0,068973391
0,9825;0,086881110
0,9850;0,106690332
0,9875;0,128325768
0,9900;0,151702739
0,9925;0,176727418
0,9950;0,203297108
0,9975;0,231300580
1,0000;0,260618458
1,0025;0,291123647
1,0050;0,322681820
1,0075;0,355151942
1,0100;0,388386845
1,0125;0,422233841
1,0150;0,456535386
1,0175;0,491129770
1,0200;0,525851857
1,0225;0,560533849
1,0250;0,595006084
1,0275;0,629097862
1,0300;0,662638291
1,0325;0,695457158
1,0350;0,727385808
1,0375;0,758258040
1,0400;0,787911007
1,0425;0,816186116
1,0450;0,842929926
1,0475;0,867995039
1,0500;0,891240978
1,0525;0,912535041
1,0550;0,931753136
1,0575;0,948780587
1,0600;0,963512903
1,0625;0,975856508
1,0650;0,985729428
1,0675;0,993061925
1,0700;0,997797082
1,0725;0,999891318
1,0750;0,999314853
1,0775;0,996052092
1,0800;0,990101948
1,0825;0,981478077
1,0850;0,970209046
1,0875;0,956338411
1,0900;0,939924714
1,0925;0,921041392
1,0950;0,899776596
1,0975;0,876232927
1,1000;0,850527073
1,1025;0,822789364
1,1050;0,793163230
1,1075;0,761804582
1,1100;0,728881087
1,1125;0,694571382
1,1150;0,659064184
1,1175;0,622557339
1,1200;0,585256783
1,1225;0,547375444
1,1250;0,509132072
1,1275;0,470750013
1,1300;0,432455930
1,1325;0,394478477
1,1350;0,357046938
1,1375;0,320389829
1,1400;0,284733485
1,1425;0,250300624
1,1450;0,217308911
1,1475;0,185969528
1,1500;0,156485750
1,1525;0,129051550
1,1550;0,103850234
1,1575;0,081053115
1,1600;0,060818246
1,1625;0,043289205
1,1650;0,028593960
1,1675;0,016843809
1,1700;0,008132405
1,1725;0,002534890
1,1750;0,000107123
1,1775;0,000885028
1,1800;0,004884059
1,1825;0,012098797
1,1850;0,022502670
1,1875;0,036047821
1,1900;0,052665111
1,1925;0,072264268
1,1950;0,094734186
1,1975;0,119943367
1,2000;0,147740514
1,2025;0,177955277
1,2050;0,210399135
1,2075;0,244866432
1,2100;0,281135541
1,2125;0,318970170
1,2150;0,358120791
1,2175;0,398326196
1,2200;0,439315150
1,2225;0,480808164
1,2250;0,522519348
1,2275;0,564158346
1,2300;0,605432338
1,2325;0,646048106
1,2350;0,685714125
1,2375;0,724142690
1,2400;0,761052055
1,2425;0,796168557
1,2450;0,829228734
1,2475;0,859981389
1,2500;0,888189616
1,2525;0,913632741
1,2550;0,936108192
1,2575;0,955433250
1,2600;0,971446699
1,2625;0,984010325
1,2650;0,993010282
1,2675;0,998358288
1,2700;0,999992646
1,2725;0,997879086
1,2750;0,992011403
1,2775;0,982411891
1,2800;0,969131565
1,2825;0,952250160
1,2850;0,931875908
1,2875;0,908145086
1,2900;0,881221331
1,2925;0,851294732
1,2950;0,818580694
1,2975;0,783318578
1,3000;0,745770131
1,3025;0,706217697
1,3050;0,664962249
1,3075;0,622321219
1,3100;0,578626166
1,3125;0,534220287
1,3150;0,489455788
1,3175;0,444691138
1,3200;0,400288225
