r, mm;I
0,0000;0,000000000
0,0025;0,000000002
0,0050;0,000000039
0,0075;0,000000200
0,0100;0,000000631
0,0125;0,000001542
0,0150;0,000003196
0,0175;0,000005922
0,0200;0,000010102
0,0225;0,000016182
0,0250;0,000024664
0,0275;0,000036111
0,0300;0,000051143
0,0325;0,000070442
0,0350;0,000094747
0,0375;0,000124858
0,0400;0,000161631
0,0425;0,000205984
0,0450;0,000258893
0,0475;0,000321393
0,0500;0,000394577
0,0525;0,000479597
0,0550;0,000577664
0,0575;0,000690049
0,0600;0,000818078
0,0625;0,000963139
0,0650;0,001126675
0,0675;0,001310188
0,0700;0,001515238
0,0725;0,001743443
0,0750;0,001996475
0,0775;0,002276068
0,0800;0,002584006
0,0825;0,002922135
0,0850;0,003292354
0,0875;0,003696615
0,0900;0,004136929
0,0925;0,004615358
0,0950;0,005134019
0,0975;0,005695080
0,1000;0,006300764
0,1025;0,006953343
0,1050;0,007655140
0,1075;0,008408528
0,1100;0,009215928
0,1125;0,010079810
0,1150;0,011002689
0,1175;0,011987126
0,1200;0,013035726
0,1225;0,014151136
0,1250;0,015336046
0,1275;0,016593184
0,1300;0,017925318
0,1325;0,019335251
0,1350;0,020825821
0,1375;0,022399898
0,1400;0,024060385
0,1425;0,025810212
0,1450;0,027652335
0,1475;0,029589735
0,1500;0,031625414
0,1525;0,033762394
0,1550;0,036003712
0,1575;0,038352420
0,1600;0,040811578
0,1625;0,043384257
0,1650;0,046073528
0,1675;0,048882466
0,1700;0,051814142
0,1725;0,054871622
0,1750;0,058057959
0,1775;0,061376195
0,1800;0,064829352
0,1825;0,068420429
0,1850;0,072152401
0,1875;0,076028209
0,1900;0,080050758
0,1925;0,084222913
0,1950;0,088547494
0,1975;0,093027268
0,2000;0,097664946
0,2025;0,102463177
0,2050;0,107424545
0,2075;0,112551557
0,2100;0,117846642
0,2125;0,123312146
0,2150;0,128950320
0,2175;0,134763319
0,2200;0,140753194
0,2225;0,146921884
0,2250;0,153271211
0,2275;0,159802870
0,2300;0,166518429
0,2325;0,173419311
0,2350;0,180506798
0,2375;0,187782017
0,2400;0,195245931
0,2425;0,202899340
0,2450;0,210742863
0,2475;0,218776937
0,2500;0,227001809
0,2525;0,235417524
0,2550;0,244023921
0,2575;0,252820623
0,2600;0,261807032
0,2625;0,270982316
0,2650;0,280345407
0,2675;0,289894989
0,2700;0,299629491
0,2725;0,309547081
0,2750;0,319645656
0,2775;0,329922836
0,2800;0,340375955
0,2825;0,351002057
0,2850;0,361797884
0,2875;0,372759872
0,2900;0,383884144
0,2925;0,395166503
0,2950;0,406602425
0,2975;0,418187053
0,3000;0,429915194
0,3025;0,441781308
0,3050;0,453779507
0,3075;0,465903550
0,3100;0,478146836
0,3125;0,490502403
0,3150;0,502962923
0,3175;0,515520697
0,3200;0,528167656
0,3225;0,540895358
0,3250;0,553694983
0,3275;0,566557337
0,3300;0,579472849
0,3325;0,592431572
0,3350;0,605423182
0,3375;0,618436985
0,3400;0,631461913
0,3425;0,644486531
0,3450;0,657499043
0,3475;0,670487290
0,3500;0,683438763
0,3525;0,696340606
0,3550;0,709179624
0,3575;0,721942290
0,3600;0,734614759
0,3625;0,747182874
0,3650;0,759632178
0,3675;0,771947929
0,3700;0,784115112
0,3725;0,796118453
0,3750;0,807942434
0,3775;0,819571314
0,3800;0,830989144
0,3825;0,842179783
0,3850;0,853126926
0,3875;0,863814118
0,3900;0,874224781
0,3925;0,884342236
0,3950;0,894149730
0,3975;0,903630458
0,4000;0,912767596
0,4025;0,921544324
0,4050;0,929943859
0,4075;0,937949485
0,4100;0,945544583
0,4125;0,952712668
0,4150;0,959437419
0,4175;0,965702716
0,4200;0,971492675
0,4225;0,976791686
0,4250;0,981584451
0,4275;0,985856021
0,4300;0,989591837
0,4325;0,992777771
0,4350;0,995400164
0,4375;0,997445871
0,4400;0,998902302
0,4425;0,999757463
0,4450;1,000000000
0,4475;0,999619244
0,4500;0,998605253
0,4525;0,996948853
0,4550;0,994641687
0,4575;0,991676253
0,4600;0,988045951
0,4625;0,983745126
0,4650;0,978769105
0,4675;0,973114247
0,4700;0,966777976
0,4725;0,959758829
0,4750;0,952056487
0,4775;0,943671820
0,4800;0,934606919
0,4825;0,924865135
0,4850;0,914451110
0,4875;0,903370808
0,4900;0,891631549
0,4925;0,879242033
0,4950;0,866212368
0,4975;0,852554090
0,5000;0,838280187
0,5025;0,823405117
0,5050;0,807944818
0,5075;0,791916726
0,5100;0,775339780
0,5125;0,758234425
0,5150;0,740622622
0,5175;0,722527834
0,5200;0,703975030
0,5225;0,684990671
0,5250;0,665602694
0,5275;0,645840497
0,5300;0,625734912
0,5325;0,605318184
0,5350;0,584623930
0,5375;0,563687111
0,5400;0,542543984
0,5425;0,521232058
0,5450;0,499790041
0,5475;0,478257786
0,5500;0,456676226
0,5525;0,435087311
0,5550;0,413533930
0,5575;0,392059841
0,5600;0,370709584
0,5625;0,349528396
0,5650;0,328562116
0,5675;0,307857094
0,5700;0,287460082
0,5725;0,267418132
0,5750;0,247778483
0,5775;0,228588446
0,5800;0,209895286
0,5825;0,191746095
0,5850;0,174187665
0,5875;0,157266363
0,5900;0,141027987
0,5925;0,125517636
0,5950;0,110779570
0,5975;0,096857064
0,6000;0,083792267
0,6025;0,071626056
0,6050;0,060397890
0,6075;0,050145663
0,6100;0,040905553
0,6125;0,032711881
0,6150;0,025596961
0,6175;0,019590955
0,6200;0,014721731
0,6225;0,011014721
0,6250;0,008492787
0,6275;0,007176079
0,6300;0,007081913
0,6325;0,008224642
0,6350;0,010615535
0,6375;0,014262664
0,6400;0,019170797
0,6425;0,025341297
0,6450;0,032772029
0,6475;0,041457278
0,6500;0,051387671
0,6525;0,062550113
0,6550;0,074927735
0,6575;0,088499842
0,6600;0,103241889
0,6625;0,119125454
0,6650;0,136118232
0,6675;0,154184040
0,6700;0,173282831
0,6725;0,193370731
0,6750;0,214400082
0,6775;0,236319502
0,6800;0,259073960
0,6825;0,282604871
0,6850;0,306850194
0,6875;0,331744561
0,6900;0,357219406
0,6925;0,383203126
0,6950;0,409621240
0,6975;0,436396578
0,7000;0,463449480
0,7025;0,490698005
0,7050;0,518058165
0,7075;0,545444164
0,7100;0,572768656
0,7125;0,599943016
0,7150;0,626877621
0,7175;0,653482148
0,7200;0,679665879
0,7225;0,705338015
0,7250;0,730408008
0,7275;0,754785894
0,7300;0,778382630
0,7325;0,801110453
0,7350;0,822883225
0,7375;0,843616794
0,7400;0,863229355
0,7425;0,881641810
0,7450;0,898778128
0,7475;0,914565704
0,7500;0,928935712
0,7525;0,941823459
0,7550;0,953168721
0,7575;0,962916082
0,7600;0,971015254
0,7625;0,977421390
0,7650;0,982095379
0,7675;0,985004131
0,7700;0,986120834
0,7725;0,985425204
0,7750;0,982903709
0,7775;0,978549763
0,7800;0,972363910
0,7825;0,964353969
0,7850;0,954535160
0,7875;0,942930196
0,7900;0,929569346
0,7925;0,914490472
0,7950;0,897739020
0,7975;0,879367994
0,8000;0,859437881
0,8025;0,838016548
0,8050;0,815179104
0,8075;0,791007717
0,8100;0,765591406
0,8125;0,739025784
0,8150;0,711412775
0,8175;0,682860286
0,8200;0,653481845
0,8225;0,623396207
0,8250;0,592726919
0,8275;0,561601859
0,8300;0,530152733
0,8325;0,498514547
0,8350;0,466825053
0,8375;0,435224158
0,8400;0,403853315
0,8425;0,372854890
0,8450;0,342371504
0,8475;0,312545366
0,8500;0,283517583
0,8525;0,255427460
0,8550;0,228411798
0,8575;0,202604177
0,8600;0,178134246
0,8625;0,155127011
0,8650;0,133702131
0,8675;0,113973223
0,8700;0,096047182
0,8725;0,080023520
0,8750;0,065993725
0,8775;0,054040646
0,8800;0,044237916
0,8825;0,036649398
0,8850;0,031328679
0,8875;0,028318601
0,8900;0,027650843
0,8925;0,029345549
0,8950;0,033411012
0,8975;0,039843413
0,9000;0,048626625
0,9025;0,059732070
0,9050;0,073118651
0,9075;0,088732750
0,9100;0,106508289
0,9125;0,126366870
0,9150;0,148217983
0,9175;0,171959290
0,9200;0,197476978
0,9225;0,224646192
0,9250;0,253331534
0,9275;0,283387640
0,9300;0,314659826
0,9325;0,346984797
0,9350;0,380191434
0,9375;0,414101631
0,9400;0,448531202
0,9425;0,483290841
0,9450;0,518187131
0,9475;0,553023605
0,9500;0,587601842
0,9525;0,621722607
0,9550;0,655187014
0,9575;0,687797715
0,9600;0,719360107
0,9625;0,749683543
0,9650;0,778582554
0,9675;0,805878053
0,9700;0,831398536
0,9725;0,854981257
0,9750;0,876473367
0,9775;0,895733029
0,9800;0,912630470
0,9825;0,927048989
0,9850;0,938885904
0,9875;0,948053415
0,9900;0,954479407
0,9925;0,958108153
0,9950;0,958900933
0,9975;0,956836550
1,0000;0,951911743
1,0025;0,944141491
1,0050;0,933559199
1,0075;0,920216766
1,0100;0,904184529
1,0125;0,885551089
1,0150;0,864422995
1,0175;0,840924314
1,0200;0,815196068
1,0225;0,787395536
1,0250;0,757695443
1,0275;0,726283014
1,0300;0,693358917
1,0325;0,659136086
1,0350;0,623838435
1,0375;0,587699476
1,0400;0,550960827
1,0425;0,513870655
1,0450;0,476682018
1,0475;0,439651160
1,0500;0,403035740
1,0525;0,367093013
1,0550;0,332077993
1,0575;0,298241582
1,0600;0,265828704
1,0625;0,235076441
1,0650;0,206212200
1,0675;0,179451904
1,0700;0,154998251
1,0725;0,133039027
1,0750;0,113745505
1,0775;0,097270940
1,0800;0,083749169
1,0825;0,073293339
1,0850;0,065994766
1,0875;0,061921940
1,0900;0,061119693
1,0925;0,063608533
1,0950;0,069384154
1,0975;0,078417135
1,1000;0,090652828
1,1025;0,106011443
1,1050;0,124388338
1,1075;0,145654507
1,1100;0,169657277
1,1125;0,196221201
1,1150;0,225149154
1,1175;0,256223627
1,1200;0,289208204
1,1225;0,323849220
1,1250;0,359877592
1,1275;0,397010809
1,1300;0,434955064
1,1325;0,473407518
1,1350;0,512058679
1,1375;0,550594877
1,1400;0,588700815
1,1425;0,626062180
1,1450;0,662368283
1,1475;0,697314722
1,1500;0,730606029
1,1525;0,761958285
1,1550;0,791101682
1,1575;0,817783000
1,1600;0,841767988
1,1625;0,862843614
1,1650;0,880820163
1,1675;0,895533169
1,1700;0,906845155
1,1725;0,914647158
1,1750;0,918860027
1,1775;0,919435475
1,1800;0,916356871
1,1825;0,909639757
1,1850;0,899332086
1,1875;0,885514161
1,1900;0,868298289
1,1925;0,847828128
1,1950;0,824277738
1,1975;0,797850334
1,2000;0,768776754
1,2025;0,737313643
1,2050;0,703741367
1,2075;0,668361675
1,2100;0,631495122
1,2125;0,593478275
1,2150;0,554660725
1,2175;0,515401933
1,2200;0,476067925
1,2225;0,437027887
1,2250;0,398650670
1,2275;0,361301248
1,2300;0,325337166
1,2325;0,291105000
1,2350;0,258936885
1,2375;0,229147119
1,2400;0,202028911
1,2425;0,177851275
1,2450;0,156856133
1,2475;0,139255642
1,2500;0,125229780
1,2525;0,114924222
1,2550;0,108448540
1,2575;0,105874735
1,2600;0,107236135
1,2625;0,112526674
1,2650;0,121700565
1,2675;0,134672377
1,2700;0,151317522
1,2725;0,171473159
1,2750;0,194939508
1,2775;0,221481562
1,2800;0,250831203
1,2825;0,282689688
1,2850;0,316730493
1,2875;0,352602489
1,2900;0,389933432
1,2925;0,428333707
1,2950;0,467400327
1,2975;0,506721113
1,3000;0,545879036
1,3025;0,584456667
1,3050;0,622040685
1,3075;0,658226401
1,3100;0,692622243
1,3125;0,724854154
1,3150;0,754569849
1,3175;0,781442891
1,3200;0,805176515
