r, mm;I
0,0000;0,000000000
0,0025;0,000000002
0,0050;0,000000039
0,0075;0,000000197
0,0100;0,000000622
0,0125;0,000001517
0,0150;0,000003147
0,0175;0,000005829
0,0200;0,000009945
0,0225;0,000015930
0,0250;0,000024279
0,0275;0,000035547
0,0300;0,000050345
0,0325;0,000069343
0,0350;0,000093269
0,0375;0,000122910
0,0400;0,000159110
0,0425;0,000202771
0,0450;0,000254855
0,0475;0,000316379
0,0500;0,000388421
0,0525;0,000472115
0,0550;0,000568653
0,0575;0,000679285
0,0600;0,000805317
0,0625;0,000948116
0,0650;0,001109102
0,0675;0,001289753
0,0700;0,001491607
0,0725;0,001716253
0,0750;0,001965342
0,0775;0,002240576
0,0800;0,002543716
0,0825;0,002876576
0,0850;0,003241027
0,0875;0,003638992
0,0900;0,004072448
0,0925;0,004543428
0,0950;0,005054015
0,0975;0,005606345
0,1000;0,006202606
0,1025;0,006845035
0,1050;0,007535920
0,1075;0,008277597
0,1100;0,009072452
0,1125;0,009922916
0,1150;0,010831467
0,1175;0,011800627
0,1200;0,012832962
0,1225;0,013931080
0,1250;0,015097630
0,1275;0,016335301
0,1300;0,017646818
0,1325;0,019034945
0,1350;0,020502477
0,1375;0,022052244
0,1400;0,023687106
0,1425;0,025409951
0,1450;0,027223693
0,1475;0,029131272
0,1500;0,031135648
0,1525;0,033239800
0,1550;0,035446724
0,1575;0,037759430
0,1600;0,040180939
0,1625;0,042714279
0,1650;0,045362483
0,1675;0,048128585
0,1700;0,051015618
0,1725;0,054026609
0,1750;0,057164576
0,1775;0,060432522
0,1800;0,063833436
0,1825;0,067370284
0,1850;0,071046005
0,1875;0,074863511
0,1900;0,078825678
0,1925;0,082935343
0,1950;0,087195299
0,1975;0,091608288
0,2000;0,096177000
0,2025;0,100904065
0,2050;0,105792046
0,2075;0,110843438
0,2100;0,116060656
0,2125;0,121446036
0,2150;0,127001823
0,2175;0,132730168
0,2200;0,138633121
0,2225;0,144712623
0,2250;0,150970503
0,2275;0,157408467
0,2300;0,164028094
0,2325;0,170830829
0,2350;0,177817973
0,2375;0,184990681
0,2400;0,192349947
0,2425;0,199896607
0,2450;0,207631320
0,2475;0,215554570
0,2500;0,223666653
0,2525;0,231967673
0,2550;0,240457529
0,2575;0,249135915
0,2600;0,258002303
0,2625;0,267055943
0,2650;0,276295853
0,2675;0,285720809
0,2700;0,295329340
0,2725;0,305119719
0,2750;0,315089957
0,2775;0,325237791
0,2800;0,335560685
0,2825;0,346055815
0,2850;0,356720064
0,2875;0,367550018
0,2900;0,378541957
0,2925;0,389691846
0,2950;0,400995333
0,2975;0,412447743
0,3000;0,424044068
0,3025;0,435778964
0,3050;0,447646746
0,3075;0,459641384
0,3100;0,471756496
0,3125;0,483985348
0,3150;0,496320844
0,3175;0,508755530
0,3200;0,521281586
0,3225;0,533890828
0,3250;0,546574701
0,3275;0,559324284
0,3300;0,572130286
0,3325;0,584983045
0,3350;0,597872533
0,3375;0,610788354
0,3400;0,623719748
0,3425;0,636655593
0,3450;0,649584408
0,3475;0,662494360
0,3500;0,675373268
0,3525;0,688208608
0,3550;0,700987521
0,3575;0,713696824
0,3600;0,726323012
0,3625;0,738852277
0,3650;0,751270509
0,3675;0,763563316
0,3700;0,775716034
0,3725;0,787713739
0,3750;0,799541264
0,3775;0,811183216
0,3800;0,822623993
0,3825;0,833847798
0,3850;0,844838665
0,3875;0,855580476
0,3900;0,866056982
0,3925;0,876251828
0,3950;0,886148577
0,3975;0,895730731
0,4000;0,904981763
0,4025;0,913885143
0,4050;0,922424361
0,4075;0,930582966
0,4100;0,938344587
0,4125;0,945692974
0,4150;0,952612022
0,4175;0,959085812
0,4200;0,965098641
0,4225;0,970635060
0,4250;0,975679910
0,4275;0,980218360
0,4300;0,984235945
0,4325;0,987718603
0,4350;0,990652718
0,4375;0,993025158
0,4400;0,994823317
0,4425;0,996035157
0,4450;0,996649244
0,4475;0,996654800
0,4500;0,996041737
0,4525;0,994800701
0,4550;0,992923118
0,4575;0,990401232
0,4600;0,987228148
0,4625;0,983397878
0,4650;0,978905376
0,4675;0,973746581
0,4700;0,967918460
0,4725;0,961419045
0,4750;0,954247471
0,4775;0,946404014
0,4800;0,937890127
0,4825;0,928708476
0,4850;0,918862969
0,4875;0,908358795
0,4900;0,897202445
0,4925;0,885401747
0,4950;0,872965887
0,4975;0,859905436
0,5000;0,846232366
0,5025;0,831960074
0,5050;0,817103392
0,5075;0,801678604
0,5100;0,785703453
0,5125;0,769197148
0,5150;0,752180366
0,5175;0,734675252
0,5200;0,716705416
0,5225;0,698295919
0,5250;0,679473271
0,5275;0,660265403
0,5300;0,640701655
0,5325;0,620812747
0,5350;0,600630751
0,5375;0,580189058
0,5400;0,559522336
0,5425;0,538666491
0,5450;0,517658617
0,5475;0,496536940
0,5500;0,475340768
0,5525;0,454110422
0,5550;0,432887169
0,5575;0,411713152
0,5600;0,390631311
0,5625;0,369685303
0,5650;0,348919411
0,5675;0,328378454
0,5700;0,308107694
0,5725;0,288152731
0,5750;0,268559397
0,5775;0,249373650
0,5800;0,230641459
0,5825;0,212408685
0,5850;0,194720960
0,5875;0,177623566
0,5900;0,161161301
0,5925;0,145378353
0,5950;0,130318166
0,5975;0,116023302
0,6000;0,102535305
0,6025;0,089894562
0,6050;0,078140163
0,6075;0,067309758
0,6100;0,057439419
0,6125;0,048563494
0,6150;0,040714472
0,6175;0,033922838
0,6200;0,028216939
0,6225;0,023622845
0,6250;0,020164219
0,6275;0,017862183
0,6300;0,016735196
0,6325;0,016798928
0,6350;0,018066147
0,6375;0,020546602
0,6400;0,024246924
0,6425;0,029170521
0,6450;0,035317491
0,6475;0,042684535
0,6500;0,051264884
0,6525;0,061048231
0,6550;0,072020675
0,6575;0,084164675
0,6600;0,097459012
0,6625;0,111878766
0,6650;0,127395302
0,6675;0,143976269
0,6700;0,161585613
0,6725;0,180183598
0,6750;0,199726846
0,6775;0,220168390
0,6800;0,241457736
0,6825;0,263540947
0,6850;0,286360731
0,6875;0,309856558
0,6900;0,333964774
0,6925;0,358618747
0,6950;0,383749015
0,6975;0,409283458
0,7000;0,435147473
0,7025;0,461264177
0,7050;0,487554616
0,7075;0,513937983
0,7100;0,540331865
0,7125;0,566652485
0,7150;0,592814967
0,7175;0,618733612
0,7200;0,644322179
0,7225;0,669494182
0,7250;0,694163194
0,7275;0,718243159
0,7300;0,741648713
0,7325;0,764295507
0,7350;0,786100541
0,7375;0,806982500
0,7400;0,826862089
0,7425;0,845662373
0,7450;0,863309116
0,7475;0,879731123
0,7500;0,894860565
0,7525;0,908633321
0,7550;0,920989291
0,7575;0,931872722
0,7600;0,941232509
0,7625;0,949022495
0,7650;0,955201753
0,7675;0,959734856
0,7700;0,962592133
0,7725;0,963749902
0,7750;0,963190692
0,7775;0,960903435
0,7800;0,956883646
0,7825;0,951133570
0,7850;0,943662309
0,7875;0,934485924
0,7900;0,923627506
0,7925;0,911117217
0,7950;0,896992305
0,7975;0,881297088
0,8000;0,864082902
0,8025;0,845408019
0,8050;0,825337534
0,8075;0,803943214
0,8100;0,781303316
0,8125;0,757502372
0,8150;0,732630933
0,8175;0,706785291
0,8200;0,680067156
0,8225;0,652583306
0,8250;0,624445205
0,8275;0,595768586
0,8300;0,566673009
0,8325;0,537281383
0,8350;0,507719468
0,8375;0,478115350
0,8400;0,448598887
0,8425;0,419301137
0,8450;0,390353770
0,8475;0,361888456
0,8500;0,334036246
0,8525;0,306926935
0,8550;0,280688420
0,8575;0,255446053
0,8600;0,231321991
0,8625;0,208434547
0,8650;0,186897543
0,8675;0,166819677
0,8700;0,148303897
0,8725;0,131446793
0,8750;0,116338003
0,8775;0,103059654
0,8800;0,091685811
0,8825;0,082281976
0,8850;0,074904602
0,8875;0,069600664
0,8900;0,066407252
0,8925;0,065351218
0,8950;0,066448873
0,8975;0,069705724
0,9000;0,075116274
0,9025;0,082663873
0,9050;0,092320625
0,9075;0,104047358
0,9100;0,117793657
0,9125;0,133497954
0,9150;0,151087691
0,9175;0,170479540
0,9200;0,191579690
0,9225;0,214284206
0,9250;0,238479442
0,9275;0,264042528
0,9300;0,290841913
0,9325;0,318737973
0,9350;0,347583679
0,9375;0,377225315
0,9400;0,407503259
0,9425;0,438252806
0,9450;0,469305046
0,9475;0,500487773
0,9500;0,531626443
0,9525;0,562545157
0,9550;0,593067677
0,9575;0,623018460
0,9600;0,652223706
0,9625;0,680512423
0,9650;0,707717487
0,9675;0,733676704
0,9700;0,758233857
0,9725;0,781239740
0,9750;0,802553165
0,9775;0,822041939
0,9800;0,839583796
0,9825;0,855067297
0,9850;0,868392661
0,9875;0,879472547
0,9900;0,888232770
0,9925;0,894612941
0,9950;0,898567026
0,9975;0,900063835
1,0000;0,899087402
1,0025;0,895637291
1,0050;0,889728793
1,0075;0,881393024
1,0100;0,870676919
1,0125;0,857643125
1,0150;0,842369776
1,0175;0,824950170
1,0200;0,805492328
1,0225;0,784118453
1,0250;0,760964274
1,0275;0,736178295
1,0300;0,709920935
1,0325;0,682363573
1,0350;0,653687505
1,0375;0,624082807
1,0400;0,593747123
1,0425;0,562884378
1,0450;0,531703424
1,0475;0,500416630
1,0500;0,469238427
1,0525;0,438383809
1,0550;0,408066816
1,0575;0,378498985
1,0600;0,349887816
1,0625;0,322435222
1,0650;0,296336014
1,0675;0,271776406
1,0700;0,248932566
1,0725;0,227969216
1,0750;0,209038302
1,0775;0,192277737
1,0800;0,177810236
1,0825;0,165742245
1,0850;0,156162983
1,0875;0,149143599
1,0900;0,144736462
1,0925;0,142974579
1,0950;0,143871163
1,0975;0,147419345
1,1000;0,153592043
1,1025;0,162341986
1,1050;0,173601899
1,1075;0,187284855
1,1100;0,203284778
1,1125;0,221477119
1,1150;0,241719683
1,1175;0,263853609
1,1200;0,287704504
1,1225;0,313083712
1,1250;0,339789725
1,1275;0,367609708
1,1300;0,396321146
1,1325;0,425693586
1,1350;0,455490469
1,1375;0,485471040
1,1400;0,515392309
1,1425;0,545011057
1,1450;0,574085876
1,1475;0,602379205
1,1500;0,629659363
1,1525;0,655702560
1,1550;0,680294854
1,1575;0,703234046
1,1600;0,724331502
1,1625;0,743413867
1,1650;0,760324669
1,1675;0,774925787
1,1700;0,787098775
1,1725;0,796746026
1,1750;0,803791754
1,1775;0,808182803
1,1800;0,809889244
1,1825;0,808904780
1,1850;0,805246933
1,1875;0,798957020
1,1900;0,790099900
1,1925;0,778763516
1,1950;0,765058203
1,1975;0,749115792
1,2000;0,731088499
1,2025;0,711147616
1,2050;0,689482004
1,2075;0,666296415
1,2100;0,641809636
1,2125;0,616252494
1,2150;0,589865725
1,2175;0,562897722
1,2200;0,535602202
1,2225;0,508235792
1,2250;0,481055574
1,2275;0,454316602
1,2300;0,428269421
1,2325;0,403157613
1,2350;0,379215390
1,2375;0,356665268
1,2400;0,335715835
1,2425;0,316559650
1,2450;0,299371285
1,2475;0,284305536
1,2500;0,271495830
1,2525;0,261052831
1,2550;0,253063278
1,2575;0,247589063
1,2600;0,244666556
1,2625;0,244306199
1,2650;0,246492362
1,2675;0,251183479
1,2700;0,258312454
1,2725;0,267787341
1,2750;0,279492295
1,2775;0,293288779
1,2800;0,309017026
1,2825;0,326497729
1,2850;0,345533965
1,2875;0,365913298
1,2900;0,387410085
1,2925;0,409787916
1,2950;0,432802193
1,2975;0,456202807
1,3000;0,479736888
1,3025;0,503151590
1,3050;0,526196889
1,3075;0,548628355
1,3100;0,570209873
1,3125;0,590716270
1,3150;0,609935830
1,3175;0,627672652
1,3200;0,643748841
